Name,Description,Price,brand,amount,imgUrl,type
Puma Basket Mid XXI Men's Sneakers,"From the 1971 PUMA Archives, the Basket is a clean and classic kick inspired by PUMA court silhouettes. ",259,Puma,1,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/380756/01/sv01/fnd/PNA/fmt/png/Basket-Mid-XXI-Men's-Sneakers",shoes
Puma Clyde Core Foil Men's Sneakers,Pay tribute to a legend in this gold edition Clyde. Inspired by the legend himself,288,Puma,8,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/364669/01/sv01/fnd/PNA/fmt/png/Clyde-Core-Foil-Men's-Sneakers",shoes
New Balance Fresh Foam Roav,The Fresh Foam Roav keeps you comfortable on the go. Fresh Foam cushioning creates a soft underfoot feel,59,New Balance,17,https://nb.scene7.com/is/image/NB/mroavtk_nb_02_i?$pdpflexf2$&fmt=webp&wid=472&hei=472,shoes
New Balance 574T,"The most New Balance shoe ever’ says it all, right? No, actually. The 574 might be our unlikeliest icon.",203,New Balance,12,https://nb.scene7.com/is/image/NB/u574te2_nb_02_i?$pdpflexf2$&fmt=webp&wid=472&hei=472,shoes
New Balance 997H,Our CM997HV1 men’s sneaker is a versatile kick that will instantly upgrade your everyday look,182,New Balance,12,https://nb.scene7.com/is/image/NB/cm997haa_nb_02_i?$pdpflexf2$&fmt=webp&wid=472&hei=472,shoes
Gucci Stretch velvet shorts,"Marking the 100th anniversary of the House, Aria is a celebration of the history of Gucci. Taking cues from the House's glamorous past",870,Gucci,13,https://media.gucci.com/style/DarkGray_Center_0_0_800x800/1633045505/679464_Z4716_1000_001_100_0000_Light-Stretch-velvet-shorts.jpg,clothes
Gucci Check wool jacket,"Check patterns pull inspiration from classic equestrian blankets, where original motifs were woven into the fabric to enhance the durability of the design",1020,Gucci,8,https://media.gucci.com/style/DarkGray_Center_0_0_800x800/1634747463/675837_ZAHLM_2006_001_100_0000_Light-Check-wool-jacket.jpg,clothes
Gucci Cable knit vest with Web,A cable knit vest featuring green and red Web detail along the bottom and a V-neckline shape. The preppy influence,555,Gucci,28,https://media.gucci.com/style/DarkGray_Center_0_0_800x800/1632935709/681081_XKB2N_9275_001_100_0000_Light-Cable-knit-vest-with-Web.jpg,clothes
Gucci Cable knit cardigan with Web,A cable knit cardigan featuring green and red Web detail along the bottom and woven leather buttons.,559,Gucci,26,https://media.gucci.com/style/DarkGray_Center_0_0_800x800/1632137408/673487_XKB2N_8011_001_100_0000_Light-Cable-knit-cardigan-with-Web.jpg,clothes
Gucci Straight-leg denim pant,"Marking the 100th anniversary of the House, Aria is a celebration of the history of Gucci. Taking cues from the archive, the most recent collection is a culmination of symbols",664,Gucci,11,https://media.gucci.com/style/DarkGray_Center_0_0_800x800/1635184815/675701_XDBQ4_4447_001_100_0000_Light-Straight-leg-denim-pant.jpg,clothes
Fendi SWEATER,Long-sleeved crew-neck sweater. Ribbed edges. Made of light brown wool yarn. ,1056,Fendi,27,https://images.www.fendi.com/images/hc6/h70/9213827448862/FZX014AI36F0QB2_01_large-grey#product-medium,clothes
Fendi pants,Straight-cut pants with elastic insert on the waist. Made of teddy-effect blue wool blend fabric,725,Fendi,2,https://images.www.fendi.com/images/hcb/h88/9199215312926/FB0758AI6HF0H5A_01_large-grey#product-medium,clothes
Fendi BLAZER,Slim-fit blazer with double-welt pockets. Two-button closure. Made of blue double jersey,963,Fendi,17,https://images.www.fendi.com/images/h6b/h9e/9199262564382/FJ0667AIXWF0QA2_01_large-grey#product-medium,clothes
iPhone 13,iPhone 13,777,Apple,22,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/i/p/iphone-13-03.jpg,phone
iPhone 11,iPhone 11,1099,Apple,4,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/l/a/layer_21_1.jpg,phone
iPhone 13 Pro Max,iPhone 13 Pro Max,710,Apple,14,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/i/p/iphone_13-_pro-4_2.jpg,phone
iPhone 12 Pro Max,iPhone 12 Pro Max,885,Apple,23,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/i/p/iphone-12-pro-max_3__7.jpg,phone
iPhone 12 64GB ,iPhone 12 64GB ,802,Apple,27,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/i/p/iphone-12_2__3.jpg,phone
Samsung Galaxy Note 20 Ultra 5G,Samsung Galaxy Note 20 Ultra 5G,1048,Samsung,17,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/y/e/yellow_final_2.jpg,phone
Samsung Galaxy Z Flip3 5G,Samsung Galaxy Z Flip3 5G,690,Samsung,16,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/8/0/800x800_flip_3_black.png,phone
Samsung Galaxy Z Fold3 5G 512GB,Samsung Galaxy Z Fold3 5G 512GB,1003,Samsung,4,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/g/a/galaxy-z-fold3-kv_5g__1p_cmyk_1.jpg,phone
Xiaomi Redmi Note 10 5G,Xiaomi Redmi Note 10 5G,118,Xiaomi,5,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/9df78eab33525d08d6e5fb8d27136e95/r/e/redmi-note-10-5g.jpg,phone
Xiaomi Redmi 10,Xiaomi Redmi 10,189,Xiaomi,5,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/0/0/001_2.jpg,phone
Xiaomi Mi 10T Pro,Xiaomi Mi 10T Pro,78,Xiaomi,30,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/x/i/xiaomi-mi-10t-pro_2__3.jpg,phone
Xiaomi Redmi 9C,Xiaomi Redmi 9C,115,Xiaomi,15,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/r/e/redmi-9c_3__1_2.jpg,phone
Nokia 5.4,Nokia 5.4,299,Nokia,6,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/n/o/nokia-5-4-xanh_1.png,phone
Nokia 2.4,Nokia 2.4,217,Nokia,12,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/n/o/nokia-2.4_1_.jpg,phone
Nokia C30,Nokia C30,92,Nokia,24,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/image/1000x/040ec09b1e35df139433887a97daa66f/6/3/637649100605269420_nokia-c30-xanh-1.jpg,phone
